date,DIA,IVV,QQQ,SPY,VTI
2022-06-16,285.064453125,352.98309326171875,266.3042297363281,351.9842224121094,175.46749877929688
2022-06-17,284.5995178222656,353.6274719238281,269.5423278808594,352.74298095703125,176.12901306152344
2022-06-21,290.8590393066406,362.6206359863281,276.3427734375,361.622802734375,180.3953857421875
2022-06-22,290.2110900878906,361.9954223632813,275.93975830078125,360.9671630859375,180.36663818359372
2022-06-23,292.24041748046875,365.62158203125,280.0492858886719,364.505615234375,182.00201416015625
2022-06-24,300.12908935546875,377.03851318359375,289.6447448730469,376.0947265625,187.88327026367188
2022-06-27,299.500244140625,375.6726684570313,287.52117919921875,374.6580505371094,187.3057556152344
2022-06-28,294.7174377441406,368.0068664550781,278.7613525390625,367.0028076171875,183.4458770751953
2022-06-29,295.3939514160156,367.7472534179688,279.0169372558594,366.7038879394531,183.1378173828125
2022-06-30,293.2693786621094,364.6789245605469,275.5562438964844,363.72467041015625,181.55923461914065
2022-07-01,296.1561889648437,368.4685668945313,277.3751525878906,367.5715942382813,183.47476196289065
2022-07-05,295.07000732421875,369.2572326660156,282.1236572265625,368.2657775878906,184.1292724609375
2022-07-06,295.7369689941406,370.5749816894531,283.93267822265625,369.509521484375,184.4950714111328
2022-07-07,299.1095275878906,376.0670166015625,290.00848388671875,375.0437316894531,187.53677368164065
2022-07-08,298.6427917480469,375.7688903808594,290.372314453125,374.7352294921875,187.34423828125
2022-07-11,296.9659729003906,371.4887390136719,284.16864013671875,370.4544372558594,184.97630310058597
2022-07-12,295.3177490234375,368.1511535644531,281.4158020019531,367.1763000488281,183.3784637451172
2022-07-13,293.20263671875,366.2659301757813,280.83575439453125,365.24798583984375,182.5795440673828
2022-07-14,291.9165344238281,365.3811340332031,281.83856201171875,364.3609924316406,181.77101135253903
2022-07-15,298.00506591796875,372.3543395996094,286.95098876953125,371.3221740722656,185.30360412597656
2022-07-18,296.0892944335937,369.3438720703125,284.5225830078125,368.2561340332031,184.02340698242188
2022-07-19,303.1995849609375,379.2699890136719,293.2725524902344,378.2061767578125,189.16351318359372
2022-07-20,303.8002014160156,381.6168518066406,297.9228820800781,380.6165161132813,190.6939849853516
2022-07-21,305.391845703125,385.5122680664063,302.19952392578125,384.4923706054688,192.58059692382807
2022-07-22,304.10516357421875,382.0785217285156,296.900390625,380.925048828125,190.4918670654297
2022-07-25,304.9629211425781,382.4728088378906,295.2093505859375,381.3878784179688,190.7517242431641
2022-07-26,302.6563720703125,377.9330139160156,289.40887451171875,376.8756713867188,188.39344787597656
2022-07-27,306.9168701171875,387.7052917480469,301.63916015625,386.6617431640625,193.34104919433597
2022-07-28,309.9859924316406,392.62982177734375,304.588623046875,391.5114135742188,195.8629302978516
2022-07-29,313.2550964355469,398.4681091308594,310.1433410644531,397.2191162109375,198.52926635742188
2022-08-01,312.6642150878906,397.1889343261719,309.95654296875,396.0428466796875,198.06723022460935
2022-08-02,308.8516845703125,394.6593017578125,309.032470703125,393.4300231933594,196.998779296875
2022-08-03,312.778564453125,400.8150329589844,317.4481506347656,399.5909729003906,200.16563415527344
2022-08-04,312.01611328125,400.4302978515625,318.9327087402344,399.3209838867188,199.97311401367188
2022-08-05,312.5974426269531,399.7282104492188,316.3273010253906,398.6460571289063,199.9057159423828
2022-08-08,313.02642822265625,399.38189697265625,315.3049011230469,398.1833190917969,200.088623046875
2022-08-09,312.540283203125,397.708251953125,311.73602294921875,396.6021423339844,198.82766723632807
2022-08-10,317.5823974609375,406.0377807617188,320.4368896484375,404.9322814941406,203.3613739013672
2022-08-11,318.06842041015625,406.18206787109375,318.6180725097656,404.9322814941406,203.37098693847656
2022-08-12,321.9952392578125,412.8668518066406,324.82177734375,411.7874145507813,206.8939666748047
2022-08-15,323.46307373046875,414.6847229003906,327.4467468261719,413.4843444824219,207.70252990722656
2022-08-16,325.7220458984375,415.5502624511719,326.6799011230469,414.294189453125,208.14532470703125
2022-08-17,324.2542724609375,412.4243469238281,322.9537658691406,411.353515625,206.27793884277344
2022-08-18,324.6164855957031,413.63623046875,323.73046875,412.549072265625,206.8169860839844
2022-08-19,321.8622741699219,408.1634216308594,317.4186096191406,407.0052490234375,203.86187744140625
2022-08-22,315.8650817871094,399.6030883789063,309.0618591308594,398.5303649902344,199.5014495849609
2022-08-23,314.2893371582031,398.7182312011719,308.8062744140625,397.5662231445313,199.1260681152344
2022-08-24,315.005615234375,399.95892333984375,309.700927734375,398.83892822265625,199.9635162353516
2022-08-25,318.1474609375,405.5953674316406,315.17706298828125,404.4695434570313,202.8608245849609
2022-08-26,308.3878173828125,391.7353210449219,302.258544921875,390.7786254882813,196.14210510253903
2022-08-29,306.6400756835937,389.3787841796875,299.27960205078125,388.19476318359375,194.70790100097656
2022-08-30,303.7179260253906,384.9158935546875,295.9467163085937,383.9331665039063,192.5421142578125
2022-08-31,301.4355163574219,382.0207824707031,294.2262268066406,381.01177978515625,191.1271209716797
2022-09-01,302.7820129394531,383.3289489746094,294.35400390625,382.2073669433594,191.24261474609372
2022-09-02,299.63067626953125,379.2314758300781,290.19537353515625,378.1772155761719,189.3463897705078
2022-09-06,298.1408996582031,377.7213745117188,288.11102294921875,376.7503051757813,188.57632446289065
2022-09-07,302.0849304199219,384.56005859375,293.9313049316406,383.51861572265625,192.06082153320312
2022-09-08,303.9088439941406,386.9838562011719,295.4552001953125,386.025390625,193.5816802978516
2022-09-09,307.7669982910156,393.1588134765625,301.9143981933594,392.0223693847656,196.796630859375
2022-09-12,309.9538269042969,397.4005126953125,305.5028686523437,396.2357177734375,198.914306640625
2022-09-13,297.6921691894531,380.05865478515625,288.7501220703125,379.0064086914063,190.36669921875
2022-09-14,298.0071716308594,381.5110778808594,291.04083251953125,380.4526062011719,191.10787963867188
